Sample,FGA,Purity-FGA,Staging-FGA,Subtyping-FGA,Staging-Purity-FGA,Subtyping-Purity-FGA,Subtyping-Staging-FGA,Subtyping-Staging-Purity-FGA
191,0.24,0.213,0.266,0.269,0.186,0.156,0.248,0.302
192,0.288,0.222,0.326,0.28,0.221,0.489,0.09,0.277
193,0.386,0.275,0.496,0.507,0.36,0.564,0.34,0.52
194,0.006,0.048,0.057,0.03,0.093,0.046,0.231,0.143
195,0.351,0.343,0.33,0.381,0.308,0.466,0.267,0.486
196,0.383,0.346,0.362,0.295,0.261,0.537,0.166,0.408
197,0.172,0.167,0.283,0.152,0.176,0.145,0.388,0.176
198,0.05,0.067,0.08,0.016,0.072,0.126,0.08,0.074
199,0.04,0.016,0.11,0.001,0.001,0.248,0.146,0.145
200,0.178,0.162,0.17,0.134,0.181,0.297,0.156,0.207
201,0.243,0.233,0.211,0.294,0.283,0.394,0.185,0.464
202,0.388,0.381,0.372,0.35,0.382,0.43,0.371,0.438
203,0.025,0.084,0.016,0.11,0.005,0.27,0.108,0.108
204,0.057,0.029,0.001,0.019,0.036,0.144,0.055,0.117
205,0.214,0.124,0.244,0.156,0.067,0.339,0.112,0.238
206,0.082,0.03,0.12,0.001,0.065,0.117,0.087,0.046
207,0.035,0.031,0.012,0.129,0.038,0.293,0.068,0.051
208,0.454,0.429,0.429,0.486,0.472,0.618,0.352,0.584
209,0.069,0.001,0.063,0.046,0.004,0.113,0.066,0.11
210,0.09,0.117,0.065,0.105,0.005,0.047,0.095,0.075
211,0.183,0.172,0.174,0.165,0.173,0.408,0.312,0.057
212,0.362,0.431,0.367,0.336,0.391,0.539,0.304,0.194
213,0.17,0.16,0.155,0.332,0.178,0.299,0.332,0.362
214,0.244,0.238,0.293,0.276,0.272,0.405,0.311,0.277
215,0.01,0.068,0.026,0.144,0.029,0.16,0.065,0.116
216,0.306,0.309,0.251,0.13,0.285,0.033,0.578,0.323
217,0.021,0.014,0.015,0.077,0.02,0.243,0.047,0.109
218,0.032,0.085,0.031,0.099,0.097,0.007,0.168,0.046
219,0.14,0.122,0.117,0.193,0.188,0.376,0.043,0.288
220,0.243,0.168,0.269,0.277,0.242,0.447,0.359,0.141
221,0.162,0.185,0.119,0.181,0.101,0.017,0.084,0.077
222,0.096,0.101,0.084,0.16,0.005,0.075,0.106,0.244
223,0.049,0.027,0.072,0.027,0.099,0.194,0.225,0.019
224,0.002,0.05,0.025,0.008,0.037,0.324,0.04,0.038
225,0.045,0.042,0.005,0.082,0.044,0.071,0.094,0.137
226,0.164,0.122,0.17,0.159,0.145,0.258,0.21,0.225
227,0.236,0.225,0.22,0.274,0.292,0.381,0.213,0.316
228,0.101,0.231,0.165,0.305,0.217,0.433,0.378,0.179
229,0.136,0.177,0.08,0.128,0.028,0.087,0.042,0.403
230,0.029,0.063,0.033,0.028,0.004,0.12,0.072,0.384
231,0.073,0.062,0.116,0.251,0.165,0.14,0.291,0.008
232,0.145,0.181,0.151,0.24,0.281,0.245,0.291,0.141
233,0.098,0.099,0.131,0.245,0.183,0.388,0.112,0.325
234,0.051,0.062,0.091,0.005,0.18,0.242,0.388,0.134
235,0.145,0.101,0.187,0.132,0.067,0.402,0.008,0.314
236,0.207,0.195,0.263,0.351,0.281,0.455,0.065,0.252
237,0.1,0.12,0.104,0.175,0.107,0.228,0.082,0.258
238,0.079,0.108,0.063,0.073,0.189,0.317,0.259,0.042
239,0.235,0.2,0.17,0.225,0.099,0.423,0.24,0.217
240,0.198,0.234,0.262,0.345,0.289,0.353,0.27,0.123
241,0.005,0.024,0.048,0.047,0.005,0.124,0.071,0.124
242,0.133,0.146,0.118,0.181,0.037,0.02,0.285,0.335
243,0.071,0.106,0.115,0.003,0.036,0.167,0.125,0.043
244,0.121,0.12,0.146,0.146,0.12,0.262,0.185,0.067
245,0.101,0.075,0.122,0.01,0.045,0.277,0.018,0.039
246,0.35,0.266,0.233,0.178,0.225,0.103,0.218,0.423
247,0.071,0.002,0.072,0.078,0.088,0.226,0.176,0.008
248,0.202,0.185,0.162,0.209,0.147,0.397,0.153,0.267
249,0.233,0.286,0.224,0.244,0.215,0.241,0.408,0.409
250,0.232,0.187,0.262,0.276,0.245,0.357,0.356,0.18
251,0.347,0.247,0.358,0.38,0.37,0.404,0.275,0.375
252,0.106,0.058,0.089,0.068,0.021,0.22,0.265,0.08
253,0.361,0.28,0.303,0.174,0.228,0.197,0.086,0.543
254,0.332,0.226,0.383,0.238,0.26,0.468,0.284,0.261
255,0.145,0.211,0.129,0.136,0.201,0.015,0.087,0.322
256,0.058,0.075,0.021,0.152,0.007,0.09,0.245,0.249
257,0.007,0.074,0.048,0.025,0.044,0.137,0.044,0.066
258,0.187,0.258,0.142,0.035,0.226,0.045,0.193,0.012
259,0.134,0.091,0.19,0.151,0.235,0.149,0.225,0.099
260,0.146,0.099,0.133,0.032,0.082,0.173,0.259,0.273
261,0.1,0.061,0.109,0.079,0.013,0.245,0.159,0.125
262,0.068,0.057,0.119,0.027,0.041,0.198,0.048,0.058
