Sample,Purity,Purity-FGA,Staging-Purity,Subtyping-Purity,Staging-Purity-FGA,Subtyping-Purity-FGA,Subtyping-Staging-Purity,Subtyping-Staging-Purity-FGA
194,0.493,0.397,0.477,0.329,0.386,0.43,0.261,0.274
195,0.048,0.079,0.024,0.21,0.075,0.076,0.137,0.058
196,0.161,0.295,0.235,0.185,0.204,0.26,0.232,0.362
197,0.385,0.391,0.335,0.498,0.335,0.321,0.393,0.381
198,0.025,0.045,0.001,0.036,0.082,0.034,0.134,0.1
199,0.105,0.137,0.188,0.057,0.127,0.146,0.167,0.145
200,0.007,0.029,0.095,0.137,0.061,0.019,0.041,0.149
201,0.025,0.018,0.018,0.094,0.025,0.005,0.025,0.097
202,0.193,0.179,0.189,0.104,0.136,0.09,0.013,0.157
203,0.023,0.0,0.005,0.066,0.13,0.067,0.049,0.137
204,0.013,0.004,0.042,0.13,0.007,0.115,0.069,0.047
205,0.016,0.009,0.062,0.135,0.031,0.044,0.096,0.202
206,0.009,0.067,0.065,0.032,0.012,0.093,0.205,0.008
207,0.083,0.053,0.126,0.019,0.098,0.042,0.1,0.084
208,0.026,0.02,0.026,0.221,0.021,0.162,0.086,0.177
209,0.051,0.223,0.169,0.202,0.059,0.508,0.259,0.234
210,0.013,0.037,0.093,0.029,0.029,0.092,0.078,0.134
211,0.017,0.01,0.055,0.053,0.021,0.032,0.041,0.028
212,0.007,0.005,0.048,0.163,0.06,0.002,0.085,0.058
213,0.005,0.024,0.081,0.195,0.036,0.02,0.054,0.136
214,0.22,0.21,0.109,0.194,0.21,0.238,0.35,0.08
215,0.196,0.143,0.101,0.098,0.177,0.148,0.276,0.062
216,0.01,0.007,0.05,0.085,0.038,0.006,0.037,0.144
217,0.023,0.041,0.009,0.08,0.077,0.06,0.095,0.116
218,0.07,0.074,0.144,0.027,0.068,0.11,0.077,0.32
219,0.008,0.027,0.08,0.076,0.019,0.024,0.034,0.198
220,0.01,0.018,0.067,0.074,0.059,0.038,0.021,0.084
221,0.145,0.141,0.115,0.099,0.147,0.113,0.232,0.043
222,0.057,0.025,0.063,0.049,0.071,0.003,0.056,0.194
223,0.015,0.045,0.004,0.028,0.004,0.012,0.065,0.086
224,0.031,0.073,0.044,0.182,0.113,0.06,0.217,0.081
225,0.081,0.054,0.057,0.052,0.071,0.077,0.047,0.005
226,0.025,0.083,0.13,0.182,0.016,0.193,0.195,0.155
227,0.015,0.01,0.008,0.117,0.014,0.014,0.004,0.183
228,0.019,0.01,0.042,0.146,0.007,0.005,0.041,0.223
229,0.173,0.176,0.177,0.093,0.128,0.12,0.124,0.332
230,0.234,0.258,0.305,0.184,0.274,0.118,0.166,0.276
231,0.031,0.045,0.027,0.262,0.228,0.013,0.161,0.032
232,0.014,0.004,0.005,0.137,0.0,0.015,0.086,0.079
233,0.048,0.051,0.034,0.145,0.032,0.032,0.067,0.006
234,0.001,0.073,0.252,0.005,0.194,0.169,0.13,0.033
235,0.138,0.173,0.084,0.177,0.186,0.203,0.254,0.027
236,0.167,0.268,0.376,0.21,0.314,0.317,0.258,0.463
237,0.101,0.095,0.111,0.107,0.232,0.201,0.023,0.007
238,0.324,0.23,0.267,0.149,0.23,0.312,0.248,0.04
239,0.095,0.016,0.032,0.08,0.082,0.11,0.087,0.03
240,0.087,0.139,0.114,0.107,0.076,0.068,0.121,0.304
241,0.114,0.132,0.065,0.035,0.14,0.144,0.157,0.067
242,0.193,0.138,0.123,0.091,0.121,0.111,0.18,0.115
243,0.158,0.181,0.061,0.04,0.194,0.087,0.113,0.005
244,0.068,0.176,0.297,0.129,0.117,0.039,0.176,0.132
245,0.107,0.139,0.25,0.376,0.158,0.204,0.242,0.198
246,0.066,0.081,0.096,0.109,0.132,0.08,0.103,0.102
247,0.031,0.055,0.19,0.067,0.04,0.003,0.043,0.319
248,0.017,0.008,0.085,0.156,0.029,0.064,0.02,0.004
249,0.015,0.027,0.154,0.205,0.122,0.082,0.073,0.08
250,0.329,0.361,0.502,0.311,0.369,0.434,0.211,0.589
251,0.304,0.328,0.459,0.134,0.349,0.375,0.158,0.362
252,0.127,0.056,0.081,0.126,0.059,0.002,0.136,0.221
253,0.122,0.058,0.099,0.298,0.171,0.018,0.206,0.028
254,0.222,0.234,0.195,0.279,0.18,0.172,0.265,0.243
255,0.06,0.056,0.04,0.028,0.11,0.039,0.05,0.131
256,0.247,0.182,0.111,0.14,0.272,0.173,0.325,0.134
257,0.214,0.18,0.257,0.052,0.279,0.174,0.002,0.108
258,0.1,0.231,0.193,0.106,0.253,0.125,0.182,0.322
259,0.232,0.278,0.418,0.398,0.283,0.139,0.185,0.242
260,0.052,0.008,0.097,0.051,0.02,0.064,0.083,0.186
261,0.109,0.07,0.118,0.161,0.055,0.145,0.085,0.132
262,0.122,0.039,0.032,0.121,0.156,0.101,0.03,0.235
263,0.136,0.102,0.249,0.068,0.232,0.18,0.079,0.035
264,0.379,0.377,0.319,0.455,0.324,0.313,0.287,0.556
265,0.376,0.405,0.257,0.158,0.183,0.242,0.249,0.527
266,0.264,0.258,0.211,0.352,0.285,0.215,0.457,0.467
267,0.006,0.056,0.128,0.014,0.01,0.018,0.042,0.131
268,0.226,0.176,0.26,0.001,0.188,0.142,0.049,0.107
269,0.024,0.008,0.066,0.124,0.15,0.132,0.036,0.017
270,0.088,0.101,0.145,0.403,0.107,0.266,0.285,0.377
271,0.128,0.166,0.089,0.041,0.331,0.147,0.158,0.297
272,0.073,0.022,0.032,0.14,0.076,0.023,0.252,0.053
273,0.028,0.047,0.079,0.057,0.113,0.055,0.147,0.008
