Sample,Purity-FGA,Staging-Purity-FGA,Subtyping-Purity-FGA,Subtyping-Staging-Purity-FGA
253,0.058,0.171,0.018,0.028
254,0.234,0.18,0.172,0.243
255,0.056,0.11,0.039,0.131
256,0.182,0.272,0.173,0.134
257,0.18,0.279,0.174,0.108
258,0.231,0.253,0.125,0.322
259,0.278,0.283,0.139,0.242
260,0.008,0.02,0.064,0.186
261,0.07,0.055,0.145,0.132
262,0.039,0.156,0.101,0.235
263,0.102,0.232,0.18,0.035
264,0.377,0.324,0.313,0.556
265,0.405,0.183,0.242,0.527
266,0.258,0.285,0.215,0.467
267,0.056,0.01,0.018,0.131
268,0.176,0.188,0.142,0.107
269,0.008,0.15,0.132,0.017
270,0.101,0.107,0.266,0.377
271,0.166,0.331,0.147,0.297
272,0.022,0.076,0.023,0.053
273,0.047,0.113,0.055,0.008
274,0.401,0.35,0.322,0.54
275,0.008,0.152,0.02,0.105
276,0.031,0.013,0.071,0.155
277,0.109,0.329,0.166,0.041
278,0.054,0.003,0.068,0.116
279,0.183,0.097,0.279,0.33
280,0.088,0.0,0.105,0.16
281,0.197,0.102,0.117,0.062
282,0.231,0.294,0.081,0.244
283,0.229,0.342,0.161,0.184
284,0.359,0.41,0.289,0.21
285,0.187,0.175,0.241,0.364
286,0.224,0.224,0.178,0.415
287,0.017,0.087,0.039,0.016
288,0.122,0.007,0.064,0.25
289,0.159,0.24,0.206,0.196
290,0.421,0.542,0.298,0.323
291,0.072,0.041,0.065,0.129
292,0.151,0.261,0.028,0.105
293,0.057,0.136,0.02,0.083
294,0.227,0.252,0.175,0.178
295,0.176,0.256,0.275,0.403
296,0.072,0.025,0.106,0.209
297,0.379,0.436,0.243,0.437
298,0.008,0.079,0.048,0.021
299,0.006,0.145,0.029,0.184
300,0.081,0.139,0.13,0.018
301,0.364,0.356,0.267,0.17
302,0.097,0.167,0.013,0.035
303,0.233,0.349,0.229,0.189
304,0.048,0.135,0.106,0.011
305,0.031,0.103,0.002,0.076
306,0.282,0.243,0.239,0.416
307,0.091,0.019,0.242,0.183
308,0.184,0.344,0.088,0.281
309,0.05,0.078,0.093,0.305
310,0.198,0.135,0.165,0.261
311,0.266,0.227,0.211,0.285
312,0.116,0.121,0.142,0.409
313,0.053,0.034,0.053,0.17
314,0.159,0.086,0.252,0.241
315,0.14,0.286,0.146,0.11
316,0.127,0.305,0.146,0.038
317,0.11,0.0,0.121,0.068
318,0.04,0.016,0.014,0.279
319,0.017,0.088,0.135,0.052
320,0.479,0.531,0.254,0.369
321,0.124,0.159,0.126,0.028
322,0.192,0.151,0.133,0.184
323,0.102,0.053,0.109,0.142
324,0.288,0.261,0.288,0.286
325,0.029,0.092,0.097,0.017
326,0.064,0.083,0.006,0.002
327,0.221,0.299,0.247,0.034
328,0.263,0.202,0.206,0.119
329,0.258,0.349,0.161,0.074
330,0.159,0.103,0.179,0.288
331,0.114,0.145,0.293,0.307
332,0.201,0.186,0.19,0.367
333,0.254,0.258,0.271,0.034
334,0.1,0.11,0.08,0.15
335,0.016,0.016,0.033,0.155
336,0.195,0.219,0.154,0.31
337,0.003,0.052,0.007,0.13
338,0.052,0.045,0.102,0.04
339,0.189,0.292,0.223,0.111
340,0.069,0.051,0.087,0.291
341,0.121,0.104,0.024,0.207
342,0.214,0.006,0.129,0.228
343,0.031,0.082,0.001,0.041
344,0.011,0.101,0.077,0.243
345,0.681,0.642,0.631,0.789
346,0.3,0.269,0.209,0.457
347,0.172,0.1,0.189,0.391
348,0.132,0.045,0.067,0.188
349,0.307,0.072,0.221,0.225
350,0.109,0.105,0.053,0.372
351,0.045,0.044,0.044,0.125
352,0.255,0.086,0.234,0.361
353,0.048,0.044,0.061,0.238
354,0.337,0.37,0.322,0.201
355,0.22,0.216,0.388,0.372
356,0.335,0.243,0.379,0.446
357,0.067,0.119,0.056,0.085
358,0.132,0.226,0.125,0.261
359,0.081,0.123,0.13,0.261
360,0.029,0.142,0.007,0.176
361,0.015,0.03,0.065,0.207
362,0.05,0.074,0.122,0.322
363,0.015,0.159,0.011,0.012
364,0.135,0.245,0.127,0.108
365,0.152,0.03,0.212,0.43
366,0.014,0.092,0.038,0.056
367,0.287,0.371,0.194,0.175
368,0.009,0.059,0.083,0.118
369,0.054,0.11,0.028,0.245
370,0.039,0.062,0.059,0.183
371,0.068,0.013,0.02,0.135
372,0.171,0.247,0.17,0.161
373,0.389,0.283,0.394,0.553
374,0.149,0.27,0.167,0.122
375,0.234,0.302,0.249,0.056
376,0.674,0.722,0.589,0.691
377,0.003,0.006,0.016,0.016
378,0.298,0.245,0.424,0.439
379,0.132,0.016,0.19,0.11
380,0.218,0.121,0.264,0.098
381,0.002,0.12,0.008,0.061
382,0.093,0.087,0.085,0.236
383,0.07,0.043,0.141,0.004
384,0.001,0.031,0.024,0.326
385,0.23,0.166,0.265,0.356
386,0.19,0.295,0.181,0.02
387,0.216,0.201,0.131,0.034
388,0.191,0.277,0.267,0.089
389,0.019,0.031,0.182,0.194
390,0.239,0.198,0.311,0.45
391,0.156,0.168,0.06,0.034
392,0.132,0.151,0.056,0.125
393,0.029,0.042,0.019,0.182
394,0.008,0.101,0.073,0.113
395,0.189,0.111,0.142,0.233
396,0.113,0.049,0.128,0.088
397,0.009,0.157,0.023,0.055
